,key,nodes,edges,loss
0,pruning_vertices_auto/ioi_with_mlp/0.005,26,1702,0.04582593776285648
1,pruning_vertices_auto/ioi_with_mlp/0.007,19,1134,0.05250517837703228
2,pruning_vertices_auto/ioi_with_mlp/0.01,12,628,0.07606868855655194
3,pruning_vertices_auto/ioi_with_mlp/0.015,8,387,0.08974915482103825
4,pruning_vertices_auto/ioi_with_mlp/0.02,5,218,0.12335135228931904
5,pruning_vertices_auto/ioi_with_mlp/0.003,44,3874,0.027380880806595086
6,pruning_edges_auto/ioi_edges/0.0007,38,245,0.0827289992943406
7,pruning_edges_auto/ioi_edges/0.0002,103,979,0.06877166461199521
8,pruning_edges_auto/ioi_edges/0.0003,83,771,0.0704145660623908
9,pruning_edges_auto/ioi_edges/0.0001,130,2266,0.06005445532500744
10,pruning_edges_auto/ioi_edges/0.001,33,230,0.09563663192093372
11,pruning_edges_auto/ioi_edges/0.0005,58,444,0.08431574311107397
12,pruning_edges_auto/ioi_vertex_prior/0.00015-0.005-0.3,134,1846,0.0511574687436223
13,pruning_edges_auto/ioi_vertex_prior/0.0001-0.005-0.3,136,1824,0.05652052965015173
14,pruning_edges_auto/ioi_vertex_prior/0.0003-0.005-0.3,92,813,0.06535036638379096
15,pruning_edges_auto/ioi_vertex_prior/0.0005-0.005-0.3,74,618,0.061546350829303265
16,pruning_edges_auto/ioi_vertex_prior/0.0002-0.005-0.3,130,1552,0.05678647067397833
17,pruning_edges_auto/ioi_edges_unif/0.0007,25,214,0.07275565490126609
18,pruning_edges_auto/ioi_edges_unif/0.0002,45,435,0.0564655676484108
19,pruning_edges_auto/ioi_edges_unif/0.0001,55,613,0.05467852838337421
20,pruning_edges_auto/ioi_edges_unif/7e-05,70,925,0.04856095295399428
21,pruning_edges_auto/ioi_edges_unif/0.001,23,175,0.07327891662716865
22,pruning_edges_auto/ioi_edges_unif/0.00015,43,491,0.058678847178816794
23,pruning_edges_auto/ioi_edges_unif/0.0005,28,259,0.06683929339051246
24,pruning_edges_auto/ioi_edges_unif/0.002,17,111,0.08495819382369518
25,pruning_edges_auto/ioi_edges_unif/5e-05,83,1087,0.04688537064939737
26,acdc_ioi_runs/0.00025,74,1043,0.05562149863690138
27,acdc_ioi_runs/0.0001,86,1539,0.05317528136074543
28,acdc_ioi_runs/manual,26,963,0.06328914184123277
29,acdc_ioi_runs/0.00075,53,604,0.07184646036475897
30,acdc_ioi_runs/0.0005,62,742,0.06664046216756106
31,acdc_ioi_runs/7.5e-05,99,1851,0.045549697056412694
32,acdc_ioi_runs/0.002,47,389,0.08349214009940624
33,acdc_ioi_runs/0.003,40,315,0.09811341129243374
34,eap_ioi_runs/0.013,91,1108,0.08111155945807695
35,eap_ioi_runs/0.05,27,219,0.16869522519409658
36,eap_ioi_runs/0.01,96,1300,0.08036500252783299
37,eap_ioi_runs/0.04,43,375,0.12016863375902176
38,eap_ioi_runs/0.07,21,148,0.20337820574641227
39,eap_ioi_runs/0.02,68,748,0.09435433521866798
